curie	type	label	nucleon number	neutron number
ID	TYPE		SC 'ChEMROF:nucleon_number' value %	SC 'ChEMROF:neutron_number' value %
CHEBI:29236 	class	protium atom	1	0
CHEBI:29237 	class	deuterium atom	2	1
CHEBI:29238 	class	tritium atom	3	2
CHEBI:30218	class	helium-3	3	1
CHEBI:37004	class	helium-8	8	6
CHEBI:30219	class	helium-4	4	2
CHEBI:37003	class	helium-6	6	4
CHEBI:52621	class	lithium-6	6	3
CHEBI:52458	class	lithium-7	7	4
CHEBI:77014	class	boron-10	10	5
CHEBI:52451	class	boron-11	11	6
CHEBI:36931	class	carbon-12	12	6
CHEBI:36928	class	carbon-13	13	7
CHEBI:36929	class	carbon-11	11	5
CHEBI:36927	class	carbon-14	14	8
CHEBI:36930	class	carbon-10	10	4
CHEBI:36935	class	nitrogen-13	13	6
CHEBI:36937	class	nitrogen-17	17	10
CHEBI:36936	class	nitrogen-16	16	9
CHEBI:36938	class	nitrogen-14	14	7
CHEBI:36934	class	nitrogen-15	15	8
CHEBI:36933	class	oxygen-19	19	11
CHEBI:33815	class	oxygen-18	18	10
CHEBI:33819	class	oxygen-17	17	9
CHEBI:33818	class	oxygen-16	16	8
CHEBI:36932	class	oxygen-15	15	7
CHEBI:36939	class	fluorine-18	18	9
CHEBI:36940	class	fluorine-19	19	10
CHEBI:52634	class	sodium-23	23	12
CHEBI:52763	class	magnesium-25	25	13
CHEBI:37968	class	aluminium-27	27	14
CHEBI:37970	class	aluminium-28	28	15
CHEBI:37969	class	aluminium-26	26	13
CHEBI:37977	class	silicon-31	31	17
CHEBI:37978	class	silicon-32	32	18
CHEBI:37975	class	silicon-28	28	14
CHEBI:37974	class	silicon-29	29	15
CHEBI:37976	class	silicon-30	30	16
CHEBI:37972	class	phosphorus-32	32	17
CHEBI:37973	class	phosphorus-33	33	18
CHEBI:37971	class	phosphorus-31	31	16
CHEBI:37983	class	sulfur-35	35	19
CHEBI:37980	class	sulfur-33	33	17
CHEBI:37984	class	sulfur-37	37	21
CHEBI:37979	class	sulfur-32	32	16
CHEBI:37981	class	sulfur-34	34	18
CHEBI:37982	class	sulfur-36	36	20
CHEBI:37985	class	sulfur-38	38	22
CHEBI:155827	class	argon-39	39	21
CHEBI:52632	class	potassium-39	39	20
CHEBI:176566	class	calcium-43	43	23
CHEBI:52635	class	scandium-45	45	24
CHEBI:50076	class	chromium-51	51	27
CHEBI:176583	class	manganese-55	55	30
CHEBI:52623	class	iron-57	57	31
CHEBI:176578	class	cobalt-59	59	32
CHEBI:176575	class	nickel-60	60	32
CHEBI:82623	class	zinc-65	65	35
CHEBI:176574	class	zinc-66	66	36
CHEBI:52758	class	germanium-73	73	41
CHEBI:176584	class	arsenic-75	75	42
CHEBI:52457	class	selenium-77	77	43
CHEBI:176573	class	selenium-82	82	48
CHEBI:52743	class	bromine-79	79	44
CHEBI:176572	class	rubidium-85	85	48
CHEBI:52459	class	rubidium-87	87	50
CHEBI:176571	class	strontium-88	88	50
CHEBI:52622	class	yttrium-89	89	50
CHEBI:52460	class	niobium-93	93	52
CHEBI:176570	class	molybdenum-98	98	56
CHEBI:52633	class	molybdenum-95	95	53
CHEBI:33371	class	technetium-99	99	56
CHEBI:52620	class	cadmium-113	113	65
CHEBI:52619	class	cadmium-111	111	63
CHEBI:52235	class	tin-115	115	65
CHEBI:52231	class	tin-120	120	70
CHEBI:52230	class	tin-119	119	69
CHEBI:52234	class	tin-117	117	67
CHEBI:52233	class	tin-116	116	66
CHEBI:52232	class	tin-118	118	68
CHEBI:52626	class	antimony-123	123	72
CHEBI:52624	class	antimony-121	121	70
CHEBI:52452	class	tellurium-125	125	73
CHEBI:52636	class	iodine-129	129	76
CHEBI:52631	class	iodine-127	127	74
CHEBI:52453	class	xenon-129	129	75
CHEBI:196959	class	caesium-137	137	82
CHEBI:196958	class	caesium-135	135	80
CHEBI:52627	class	lanthanum-139	139	82
CHEBI:52637	class	europium-151	151	88
CHEBI:52462	class	tungsten-183	183	109
CHEBI:37805	class	thallium-199	199	118
CHEBI:37802	class	thallium-203	203	122
CHEBI:37803	class	thallium-205	205	124
CHEBI:37804	class	thallium-201	201	120
CHEBI:37350	class	polonium-190	190	106
CHEBI:37366	class	polonium-206	206	122
CHEBI:37351	class	polonium-191	191	107
CHEBI:37343	class	polonium-213	213	129
CHEBI:37356	class	polonium-196	196	112
CHEBI:37347	class	polonium-217	217	133
CHEBI:37358	class	polonium-198	198	114
CHEBI:37359	class	polonium-199	199	115
CHEBI:37368	class	polonium-208	208	124
CHEBI:37363	class	polonium-203	203	119
CHEBI:37340	class	polonium-210	210	126
CHEBI:37344	class	polonium-214	214	130
CHEBI:37348	class	polonium-218	218	134
CHEBI:37345	class	polonium-215	215	131
CHEBI:37342	class	polonium-212	212	128
CHEBI:37365	class	polonium-205	205	121
CHEBI:37364	class	polonium-204	204	120
CHEBI:37341	class	polonium-211	211	127
CHEBI:37369	class	polonium-209	209	125
CHEBI:37346	class	polonium-216	216	132
CHEBI:37355	class	polonium-195	195	111
CHEBI:37367	class	polonium-207	207	123
CHEBI:37361	class	polonium-201	201	117
CHEBI:37360	class	polonium-200	200	116
CHEBI:37352	class	polonium-192	192	108
CHEBI:37357	class	polonium-197	197	113
CHEBI:37353	class	polonium-193	193	109
CHEBI:37362	class	polonium-202	202	118
CHEBI:37354	class	polonium-194	194	110
CHEBI:33493	class	radon-219	219	133
CHEBI:33491	class	radon-220	220	134
CHEBI:33492	class	radon-222	222	136
